country,year,value,indicator
DEU,2000,8.545,youth_unemployment
IND,2000,20.198,youth_unemployment
USA,2000,9.278,youth_unemployment
DEU,2001,7.787,youth_unemployment
IND,2001,20.422,youth_unemployment
USA,2001,10.492,youth_unemployment
DEU,2002,9.285,youth_unemployment
IND,2002,20.761,youth_unemployment
USA,2002,11.935,youth_unemployment
DEU,2003,11.024,youth_unemployment
IND,2003,20.855,youth_unemployment
USA,2003,12.362,youth_unemployment
DEU,2004,12.984,youth_unemployment
IND,2004,20.988,youth_unemployment
USA,2004,11.791,youth_unemployment
DEU,2005,15.463,youth_unemployment
IND,2005,21.117,youth_unemployment
USA,2005,11.24,youth_unemployment
DEU,2006,13.402,youth_unemployment
IND,2006,21.472,youth_unemployment
USA,2006,10.43,youth_unemployment
DEU,2007,11.824,youth_unemployment
IND,2007,21.863,youth_unemployment
USA,2007,10.472,youth_unemployment
DEU,2008,10.929,youth_unemployment
IND,2008,22.417,youth_unemployment
USA,2008,12.76,youth_unemployment
DEU,2009,11.309,youth_unemployment
IND,2009,22.862,youth_unemployment
USA,2009,17.517,youth_unemployment
DEU,2010,10.416,youth_unemployment
IND,2010,23.299,youth_unemployment
USA,2010,18.361,youth_unemployment
DEU,2011,8.927,youth_unemployment
IND,2011,23.641,youth_unemployment
USA,2011,17.272,youth_unemployment
DEU,2012,8.119,youth_unemployment
IND,2012,24.135,youth_unemployment
USA,2012,16.211,youth_unemployment
DEU,2013,7.825,youth_unemployment
IND,2013,24.473,youth_unemployment
USA,2013,15.558,youth_unemployment
DEU,2014,7.612,youth_unemployment
IND,2014,24.709,youth_unemployment
USA,2014,13.411,youth_unemployment
DEU,2015,7.328,youth_unemployment
IND,2015,24.959,youth_unemployment
USA,2015,11.634,youth_unemployment
DEU,2016,7.079,youth_unemployment
IND,2016,25.23,youth_unemployment
USA,2016,10.432,youth_unemployment
DEU,2017,6.77,youth_unemployment
IND,2017,25.591,youth_unemployment
USA,2017,9.238,youth_unemployment
DEU,2018,6.22,youth_unemployment
IND,2018,26.003,youth_unemployment
USA,2018,8.607,youth_unemployment
DEU,2019,5.859,youth_unemployment
IND,2019,22.947,youth_unemployment
USA,2019,8.375,youth_unemployment
DEU,2020,7.862,youth_unemployment
IND,2020,24.666,youth_unemployment
USA,2020,14.891,youth_unemployment
DEU,2021,6.665,youth_unemployment
IND,2021,20.824,youth_unemployment
USA,2021,9.704,youth_unemployment
DEU,2022,6.049,youth_unemployment
IND,2022,17.732,youth_unemployment
USA,2022,8.105,youth_unemployment
DEU,2023,6.02,youth_unemployment
IND,2023,15.595,youth_unemployment
USA,2023,7.953,youth_unemployment
